age,male,qx,lx,dx,L,Tx,ex
0,0,0.005516,100000,552,99514,8105137,81.1
1,0,0.000382,99448,38,99429,8005623,80.5
2,0,0.000225,99410,22,99399,7906193,79.5
3,0,0.000175,99388,17,99379,7806794,78.5
4,0,0.000151,99371,15,99363,7707415,77.6
5,0,0.000132,99356,13,99349,7608052,76.6
6,0,0.000117,99342,12,99337,7508703,75.6
7,0,0.000106,99331,10,99326,7409366,74.6
8,0,0.000096,99320,10,99316,7310041,73.6
9,0,0.000088,99311,9,99306,7210725,72.6
10,0,0.000084,99302,8,99298,7111419,71.6
11,0,0.000087,99294,9,99289,7012121,70.6
12,0,0.000102,99285,10,99280,6912831,69.6
13,0,0.000129,99275,13,99269,6813551,68.6
14,0,0.000166,99262,16,99254,6714283,67.6
15,0,0.000207,99246,21,99235,6615029,66.7
16,0,0.000247,99225,25,99213,6515793,65.7
17,0,0.000286,99201,28,99187,6416580,64.7
18,0,0.00032,99172,32,99157,6317394,63.7
19,0,0.000351,99141,35,99123,6218237,62.7
20,0,0.000384,99106,38,99087,6119114,61.7
21,0,0.000416,99068,41,99047,6020027,60.8
22,0,0.000445,99027,44,99005,5920980,59.8
23,0,0.000467,98983,46,98959,5821976,58.8
24,0,0.000486,98936,48,98912,5723016,57.8
25,0,0.000505,98888,50,98863,5624104,56.9
26,0,0.000526,98838,52,98812,5525241,55.9
27,0,0.000553,98786,55,98759,5426429,54.9
28,0,0.000587,98732,58,98703,5327670,54
29,0,0.000627,98674,62,98643,5228967,53
30,0,0.000673,98612,66,98579,5130324,52
31,0,0.000721,98546,71,98510,5031745,51.1
32,0,0.000766,98475,75,98437,4933235,50.1
33,0,0.000805,98399,79,98360,4834798,49.1
34,0,0.000842,98320,83,98279,4736439,48.2
35,0,0.000888,98237,87,98193,4638160,47.2
36,0,0.000947,98150,93,98103,4539967,46.3
37,0,0.001017,98057,100,98007,4441864,45.3
38,0,0.001099,97957,108,97903,4343856,44.3
39,0,0.001192,97850,117,97791,4245953,43.4
40,0,0.001291,97733,126,97670,4148162,42.4
41,0,0.001402,97607,137,97538,4050492,41.5
42,0,0.001535,97470,150,97395,3952954,40.6
43,0,0.001695,97320,165,97238,3855558,39.6
44,0,0.001879,97155,183,97064,3758321,38.7
45,0,0.00207,96973,201,96873,3661256,37.8
46,0,0.002268,96772,220,96662,3564384,36.8
47,0,0.002486,96553,240,96433,3467721,35.9
48,0,0.002725,96313,262,96181,3371289,35
49,0,0.002977,96050,286,95907,3275107,34.1
50,0,0.003245,95764,311,95609,3179200,33.2
51,0,0.003514,95454,335,95286,3083591,32.3
52,0,0.003776,95118,359,94938,2988305,31.4
53,0,0.004029,94759,382,94568,2893367,30.5
54,0,0.004289,94377,405,94175,2798799,29.7
55,0,0.004564,93972,429,93758,2704624,28.8
56,0,0.004875,93543,456,93315,2610866,27.9
57,0,0.005234,93087,487,92844,2517551,27
58,0,0.005647,92600,523,92339,2424707,26.2
59,0,0.006103,92077,562,91796,2332369,25.3
60,0,0.006589,91515,603,91214,2240572,24.5
61,0,0.007104,90912,646,90589,2149359,23.6
62,0,0.007665,90266,692,89921,2058769,22.8
63,0,0.008303,89575,744,89203,1968849,22
64,0,0.00905,88831,804,88429,1879646,21.2
65,0,0.009953,88027,876,87589,1791217,20.3
66,0,0.011001,87151,959,86671,1703628,19.5
67,0,0.012124,86192,1045,85670,1616957,18.8
68,0,0.01325,85147,1128,84583,1531287,18
69,0,0.014419,84019,1211,83413,1446704,17.2
70,0,0.015718,82807,1302,82157,1363291,16.5
71,0,0.017201,81506,1402,80805,1281135,15.7
72,0,0.018896,80104,1514,79347,1200330,15
73,0,0.020818,78590,1636,77772,1120983,14.3
74,0,0.022996,76954,1770,76069,1043211,13.6
75,0,0.025387,75184,1909,74230,967142,12.9
76,0,0.02809,73276,2058,72247,892911,12.2
77,0,0.031225,71217,2224,70106,820665,11.5
78,0,0.034786,68994,2400,67794,750559,10.9
79,0,0.038792,66594,2583,65302,682766,10.3
80,0,0.043109,64010,2759,62631,617463,9.6
81,0,0.0478,61251,2928,59787,554833,9.1
82,0,0.053181,58323,3102,56772,495046,8.5
83,0,0.059365,55221,3278,53582,438273,7.9
